[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /healthz                  --> main.main.func1 (4 handlers)
[GIN-debug] POST   /api/auth/register        --> github.com/interview-assistant/backend/internal/user.(*Handler).Register-fm (4 handlers)
[GIN-debug] POST   /api/auth/login           --> github.com/interview-assistant/backend/internal/user.(*Handler).Login-fm (4 handlers)
[GIN-debug] POST   /api/interviews           --> github.com/interview-assistant/backend/internal/interview.(*Handler).Create-fm (5 handlers)
[GIN-debug] GET    /api/interviews           --> github.com/interview-assistant/backend/internal/interview.(*Handler).List-fm (5 handlers)
[GIN-debug] POST   /api/interviews/from-bank --> github.com/interview-assistant/backend/internal/interview.(*Handler).CreateFromBank-fm (5 handlers)
[GIN-debug] GET    /api/interviews/:id       --> github.com/interview-assistant/backend/internal/interview.(*Handler).Get-fm (5 handlers)
[GIN-debug] POST   /api/interviews/:id/start --> github.com/interview-assistant/backend/internal/interview.(*Handler).Start-fm (5 handlers)
[GIN-debug] POST   /api/interviews/:id/end   --> github.com/interview-assistant/backend/internal/interview.(*Handler).End-fm (5 handlers)
[GIN-debug] GET    /api/questions            --> github.com/interview-assistant/backend/internal/question.(*Handler).List-fm (5 handlers)
[GIN-debug] POST   /api/questions/from-session/:sessionId --> github.com/interview-assistant/backend/internal/question.(*Handler).ImportFromSession-fm (5 handlers)
[GIN-debug] POST   /api/questions/question-bank/focused --> github.com/interview-assistant/backend/internal/question.(*Handler).Focused-fm (5 handlers)
[GIN-debug] PATCH  /api/questions/:id        --> github.com/interview-assistant/backend/internal/question.(*Handler).Patch-fm (5 handlers)
[GIN-debug] DELETE /api/questions/:id        --> github.com/interview-assistant/backend/internal/question.(*Handler).Delete-fm (5 handlers)
[GIN-debug] GET    /api/analytics/trends     --> github.com/interview-assistant/backend/internal/analytics.(*Handler).Trends-fm (5 handlers)
[GIN-debug] GET    /api/profile              --> github.com/interview-assistant/backend/internal/profile.(*Handler).Get-fm (5 handlers)
[GIN-debug] POST   /api/precheck             --> github.com/interview-assistant/backend/internal/precheck.(*Handler).Check-fm (5 handlers)
[GIN-debug] POST   /api/speech/asr           --> github.com/interview-assistant/backend/internal/speech.(*handler).ASR-fm (5 handlers)
[GIN-debug] POST   /api/speech/tts           --> github.com/interview-assistant/backend/internal/speech.(*handler).TTS-fm (5 handlers)
[GIN-debug] GET    /api/interviews/:id/report --> github.com/interview-assistant/backend/internal/analysis.(*Handler).GetReport-fm (5 handlers)
[GIN-debug] POST   /api/interviews/:id/report/retry --> github.com/interview-assistant/backend/internal/analysis.(*Handler).RetryReport-fm (5 handlers)
[GIN-debug] GET    /api/interviews/:id/expression --> github.com/interview-assistant/backend/internal/expression.(*Handler).Get-fm (5 handlers)
[GIN-debug] POST   /api/digital-human/videos --> github.com/interview-assistant/backend/internal/digitalhuman.(*handler).Submit-fm (5 handlers)
[GIN-debug] GET    /api/digital-human/videos/:taskId --> github.com/interview-assistant/backend/internal/digitalhuman.(*handler).Result-fm (5 handlers)
[GIN-debug] POST   /api/livestream/sessions  --> github.com/interview-assistant/backend/internal/livestream.(*handler).Create-fm (5 handlers)
[GIN-debug] POST   /api/livestream/sessions/:id/speak --> github.com/interview-assistant/backend/internal/livestream.(*handler).Speak-fm (5 handlers)
[GIN-debug] POST   /api/livestream/sessions/:id/close --> github.com/interview-assistant/backend/internal/livestream.(*handler).Close-fm (5 handlers)
[GIN-debug] GET    /api/livestream/sign      --> github.com/interview-assistant/backend/internal/livestream.(*handler).Sign-fm (5 handlers)
[GIN-debug] GET    /ws/interviews/:id        --> github.com/interview-assistant/backend/internal/ws.(*Handler).Serve-fm (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :9090
[GIN] 2026/08/20 - 09:29:38 | 200 |       208.3µs |       127.0.0.1 | GET      "/healthz"
[GIN] 2026/08/20 - 09:41:56 | 200 |    317.2344ms |             ::1 | POST     "/api/livestream/sessions/72f3c43c01ea17fe/close"
[GIN] 2026/08/20 - 09:41:59 | 200 |       9.709ms |             ::1 | GET      "/api/profile"
[GIN] 2026/08/20 - 09:42:40 | 204 |            0s |             ::1 | OPTIONS  "/api/interviews"
[GIN] 2026/08/20 - 09:42:40 | 201 |     28.0644ms |             ::1 | POST     "/api/interviews"
[GIN] 2026/08/20 - 09:42:40 | 204 |            0s |             ::1 | OPTIONS  "/api/interviews/5128/start"
[GIN] 2026/08/20 - 09:42:45 | 200 |    5.2894331s |             ::1 | POST     "/api/interviews/5128/start"
[GIN] 2026/08/20 - 09:42:45 | 204 |            0s |             ::1 | OPTIONS  "/api/interviews/5128"
[GIN] 2026/08/20 - 09:42:46 | 200 |       16.61ms |             ::1 | GET      "/api/interviews/5128"
[GIN] 2026/08/20 - 09:42:46 | 204 |            0s |             ::1 | OPTIONS  "/api/livestream/sign"
[GIN] 2026/08/20 - 09:42:46 | 200 |            0s |             ::1 | GET      "/api/livestream/sign"
[GIN] 2026/08/20 - 09:42:46 | 204 |            0s |             ::1 | OPTIONS  "/api/livestream/sessions"
[GIN] 2026/08/20 - 09:43:06 | 200 |   20.2771173s |             ::1 | POST     "/api/livestream/sessions"
[GIN] 2026/08/20 - 09:43:06 | 204 |            0s |             ::1 | OPTIONS  "/api/speech/tts"
[GIN] 2026/08/20 - 09:43:07 | 200 |    815.6832ms |             ::1 | POST     "/api/speech/tts"
[GIN] 2026/08/20 - 09:45:45 | 204 |            0s |             ::1 | OPTIONS  "/api/livestream/sessions/7e75329e05ae7912/close"
[GIN] 2026/08/20 - 09:45:45 | 404 |       512.1µs |             ::1 | POST     "/api/livestream/sessions/7e75329e05ae7912/close"
[GIN] 2026/08/20 - 09:45:45 | 200 |         2m39s |             ::1 | GET      "/ws/interviews/5128?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6InVpdGVzdF8xNzg3MTg5NjY2QGV4YW1wbGUuY29tIiwiZXhwIjoxNzg3Mjc2MTI3LCJzdWIiOiI1MzE3In0.KvbKJ-x6AU6ukCWcLMirolwwr-vuRHLq6GMM9pPeV60"
[GIN] 2026/08/20 - 09:45:45 | 204 |            0s |             ::1 | OPTIONS  "/api/interviews/5128"
[GIN] 2026/08/20 - 09:45:45 | 200 |      6.7708ms |             ::1 | GET      "/api/interviews/5128"
[GIN] 2026/08/20 - 09:45:45 | 204 |            0s |             ::1 | OPTIONS  "/api/livestream/sign"
[GIN] 2026/08/20 - 09:45:45 | 200 |            0s |             ::1 | GET      "/api/livestream/sign"
[GIN] 2026/08/20 - 09:45:45 | 204 |            0s |             ::1 | OPTIONS  "/api/livestream/sessions"
[GIN] 2026/08/20 - 09:45:45 | 200 |    225.9029ms |             ::1 | POST     "/api/livestream/sessions/7e75329e05ae7912/close"
[GIN] 2026/08/20 - 09:46:05 | 200 |   20.2021264s |             ::1 | POST     "/api/livestream/sessions"
[GIN] 2026/08/20 - 09:46:05 | 204 |            0s |             ::1 | OPTIONS  "/api/speech/tts"
[GIN] 2026/08/20 - 09:46:06 | 200 |    415.2239ms |             ::1 | POST     "/api/speech/tts"
[GIN] 2026/08/20 - 09:50:38 | 200 |            0s |             ::1 | GET      "/healthz"
[GIN] 2026/08/20 - 09:51:13 | 204 |            0s |             ::1 | OPTIONS  "/api/interviews"
[GIN] 2026/08/20 - 09:51:13 | 200 |      8.9547ms |             ::1 | GET      "/api/interviews"
[GIN] 2026/08/20 - 09:51:17 | 200 |      3.2919ms |             ::1 | GET      "/api/interviews"
[GIN] 2026/08/20 - 09:51:18 | 204 |            0s |             ::1 | OPTIONS  "/api/interviews/5126"
[GIN] 2026/08/20 - 09:51:18 | 200 |     10.5474ms |             ::1 | GET      "/api/interviews/5126"
[GIN] 2026/08/20 - 09:51:18 | 200 |     10.1641ms |             ::1 | GET      "/ws/interviews/5126?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6IjE3ODcwMzMyMjJAcXEuY29tIiwiZXhwIjoxNzg3MjI5NzYzLCJzdWIiOiI1MzE0In0.qDp0Nc8ZkQYRrsM-6TUUKHMHssK3I8QxBp3LFnHJYv0"
[GIN] 2026/08/20 - 09:51:19 | 200 |      5.4556ms |             ::1 | GET      "/ws/interviews/5126?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6IjE3ODcwMzMyMjJAcXEuY29tIiwiZXhwIjoxNzg3MjI5NzYzLCJzdWIiOiI1MzE0In0.qDp0Nc8ZkQYRrsM-6TUUKHMHssK3I8QxBp3LFnHJYv0"
[GIN] 2026/08/20 - 09:51:21 | 200 |     13.3826ms |             ::1 | GET      "/ws/interviews/5126?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6IjE3ODcwMzMyMjJAcXEuY29tIiwiZXhwIjoxNzg3MjI5NzYzLCJzdWIiOiI1MzE0In0.qDp0Nc8ZkQYRrsM-6TUUKHMHssK3I8QxBp3LFnHJYv0"
[GIN] 2026/08/20 - 09:51:25 | 200 |      8.2495ms |             ::1 | GET      "/ws/interviews/5126?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6IjE3ODcwMzMyMjJAcXEuY29tIiwiZXhwIjoxNzg3MjI5NzYzLCJzdWIiOiI1MzE0In0.qDp0Nc8ZkQYRrsM-6TUUKHMHssK3I8QxBp3LFnHJYv0"
[GIN] 2026/08/20 - 09:51:28 | 204 |            0s |             ::1 | OPTIONS  "/api/interviews/5126"
[GIN] 2026/08/20 - 09:51:28 | 200 |      8.9241ms |             ::1 | GET      "/api/interviews/5126"
[GIN] 2026/08/20 - 09:51:28 | 200 |      7.0819ms |             ::1 | GET      "/ws/interviews/5126?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6IjE3ODcwMzMyMjJAcXEuY29tIiwiZXhwIjoxNzg3MjI5NzYzLCJzdWIiOiI1MzE0In0.qDp0Nc8ZkQYRrsM-6TUUKHMHssK3I8QxBp3LFnHJYv0"
[GIN] 2026/08/20 - 09:51:29 | 200 |      5.3053ms |             ::1 | GET      "/ws/interviews/5126?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6IjE3ODcwMzMyMjJAcXEuY29tIiwiZXhwIjoxNzg3MjI5NzYzLCJzdWIiOiI1MzE0In0.qDp0Nc8ZkQYRrsM-6TUUKHMHssK3I8QxBp3LFnHJYv0"
[GIN] 2026/08/20 - 09:51:32 | 200 |       6.282ms |             ::1 | GET      "/ws/interviews/5126?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6IjE3ODcwMzMyMjJAcXEuY29tIiwiZXhwIjoxNzg3MjI5NzYzLCJzdWIiOiI1MzE0In0.qDp0Nc8ZkQYRrsM-6TUUKHMHssK3I8QxBp3LFnHJYv0"
[GIN] 2026/08/20 - 09:51:36 | 200 |     10.8469ms |             ::1 | GET      "/ws/interviews/5126?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6IjE3ODcwMzMyMjJAcXEuY29tIiwiZXhwIjoxNzg3MjI5NzYzLCJzdWIiOiI1MzE0In0.qDp0Nc8ZkQYRrsM-6TUUKHMHssK3I8QxBp3LFnHJYv0"
[GIN] 2026/08/20 - 09:51:38 | 204 |       455.7µs |             ::1 | OPTIONS  "/api/interviews/5126/end"
[GIN] 2026/08/20 - 09:51:44 | 200 |      8.1645ms |             ::1 | GET      "/ws/interviews/5126?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6IjE3ODcwMzMyMjJAcXEuY29tIiwiZXhwIjoxNzg3MjI5NzYzLCJzdWIiOiI1MzE0In0.qDp0Nc8ZkQYRrsM-6TUUKHMHssK3I8QxBp3LFnHJYv0"
[GIN] 2026/08/20 - 09:51:45 | 200 |    7.4280664s |             ::1 | POST     "/api/interviews/5126/end"
[GIN] 2026/08/20 - 09:51:45 | 204 |            0s |             ::1 | OPTIONS  "/api/interviews/5126/report"
[GIN] 2026/08/20 - 09:51:45 | 204 |            0s |             ::1 | OPTIONS  "/api/interviews/5126"
[GIN] 2026/08/20 - 09:51:45 | 204 |            0s |             ::1 | OPTIONS  "/api/interviews/5126/expression"
[GIN] 2026/08/20 - 09:51:45 | 200 |      5.8284ms |             ::1 | GET      "/api/interviews/5126/report"
[GIN] 2026/08/20 - 09:51:45 | 200 |     24.0209ms |             ::1 | GET      "/api/interviews/5126/expression"
[GIN] 2026/08/20 - 09:51:45 | 200 |      26.254ms |             ::1 | GET      "/api/interviews/5126"
[GIN] 2026/08/20 - 09:51:47 | 204 |       663.8µs |             ::1 | OPTIONS  "/api/interviews"
[GIN] 2026/08/20 - 09:51:47 | 200 |      3.3237ms |             ::1 | GET      "/api/interviews"
[GIN] 2026/08/20 - 09:51:52 | 204 |            0s |             ::1 | OPTIONS  "/api/profile"
[GIN] 2026/08/20 - 09:51:52 | 200 |      3.3435ms |             ::1 | GET      "/api/profile"
